CAS-RN,SMILES,train/test,LC50[-LOG(mol/L)],TPSA(Tot),SAacc,H-050,MLOGP,RDCHI,GATS1p,nN,C-040
260-94-6,c1ccc2c(c1)nc1c(c2)cccc1,train,4.851,12.89,16.786,0,3.051,2.727,0.8,1,0
91-22-5,c1ccc2c(c1)nccc2,train,3.530,12.89,16.786,0,2.066,2.284,0.867,1,0
120-78-5,c1ccc2c(c1)sc(n2)SSc1nc2c(s1)cccc2,train,3.619,132.86,33.571,0,2.892,3.487,0.572,2,0
132-65-0,c1ccc2c(c1)sc1c2cccc1,train,5.597,28.24,0,0,3.876,2.614,0.652,0,0
95-15-8,c1ccc2c(c1)scc2,train,3.357,28.24,0,0,2.851,2.176,0.656,0,0
110-86-1,c1cccnc1,train,1.815,12.89,16.786,0,0.468,1.8,1.038,1,0
110-02-1,c1cccs1,train,2.421,28.24,0,0,1.173,1.667,0.667,0,0
525-79-1,c1coc(c1)CNc1ncnc2c1[nH]cn2,train,5.054,79.63,77.875,2,1.326,3.024,1.126,5,0
108-85-0,BrC1CCCCC1,test,3.890,0,0,0,2.734,1.857,0.831,0,0
59865-13-3,C/C=C/CC(C(C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)O)C,test,4.779,278.8,413.191,5,-0.321,6.439,1.557,11,11
79-92-5,C=C1C2CCC(C1(C)C)C2,test,3.792,0,0,0,3.374,2.075,1.204,0,0
107-02-8,C=CC=O,test,5.993,17.07,25.145,0,0.094,1.334,1.328,0,0
75-05-8,CC#N,test,1.057,23.79,31.059,0,-0.317,1.155,1.403,1,1
586-62-9,CC(=O)OC(C1CCC(=CC1)C)(C)C,test,4.886,26.3,36.145,0,2.754,2.454,1.421,0,1
10161-34-9,CC(=O)OC1CCC2C1(C)C=CC1=C3CCC(=O)C=C3CCC21,test,5.541,43.37,61.29,0,3.626,3.373,1.111,0,1
62-55-5,CC(=S)N,test,3.638,58.11,32.897,2,-0.317,1.225,0.575,1,1
107-41-5,CC(CC(O)(C)C)O,test,1.220,40.46,85.367,2,0.706,1.689,1.594,0,0
770-35-4,CC(COc1ccccc1)O,test,2.614,29.46,53.683,1,1.629,2.353,1.2,0,0
101-21-3,CC(OC(=O)Nc1cccc(c1)Cl)C,test,4.762,38.33,54.156,1,2.378,2.587,1.055,1,0
1445-75-6,CC(OP(=O)(OC(C)C)C)C,test,2.829,45.34,34.106,0,1.297,2.042,1.933,0,0
56-53-1,CC/C(=C(\c1ccc(cc1)O)/CC)/c1ccc(cc1)O,test,5.370,40.46,85.367,2,3.956,3.123,0.959,0,0
108-87-2,CC1CCCCC1,test,4.819,0,0,0,3.477,1.857,1.429,0,0
66-25-1,CCCCCC=O,test,4.039,17.07,25.145,0,1.442,1.84,1.58,0,0
111-65-9,CCCCCCCC,test,5.470,0,0,0,4.203,1.997,1.625,0,0
124-18-5,CCCCCCCCCC,test,5.299,0,0,0,4.823,2.299,1.6,0,0
19295-81-9,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,test,6.194,52.6,72.29,0,6.338,4.16,1.402,0,2
109-46-6,CCCCNC(=S)NCCCC,test,3.520,56.15,36.022,2,1.971,2.472,1.144,2,0
126-73-8,CCCCOP(=O)(OCCCC)OCCCC,test,4.862,54.57,41.028,0,3.234,2.901,1.984,0,0
78-48-8,CCCCSP(=O)(SCCCC)SCCCC,test,7.676,102.78,20.263,0,3.322,2.901,0.874,0,0
67747-09-5,CCCN(C(=O)n1cncc1)CCOc1c(Cl)cc(cc1Cl)Cl,test,4.943,47.36,56.055,0,3.373,3.471,0.992,3,0
33820-53-0,CCCN(c1c(cc(cc1[N+](=O)[O-])C(C)C)[N+](=O)[O-])CCC,test,7.012,94.88,104.618,0,4.066,3.016,1.314,3,0
28249-77-6,CCN(C(=O)SCc1ccc(cc1)Cl)CC,test,5.548,45.61,28.269,0,3.092,2.814,0.948,1,0
134-62-3,CCN(C(=O)c1cccc(c1)C)CC,test,3.078,20.31,28.269,0,2.821,2.502,1.283,1,1
97-77-8,CCN(C(=S)SSC(=S)N(CC)CC)CC,test,5.976,121.26,6.249,0,1.761,2.66,0.779,2,0
625-53-6,CCNC(=S)N,test,3.936,70.14,50.908,3,-0.273,1.577,0.756,2,0
109-89-7,CCNCC,test,3.118,12.03,18.011,1,0.8,1.509,1.846,1,0
103-69-5,CCNc1ccccc1,test,5.460,12.03,18.011,1,2.193,2.134,1.117,1,0
1912-24-9,CCNc1nc(NC(C)C)nc(n1)Cl,test,3.601,62.73,86.378,2,2.59,2.546,1.277,5,0
1014-70-6,CCNc1nc(NCC)nc(n1)SC,test,3.630,88.03,86.378,2,2.273,2.575,1.159,5,0
141-78-6,CCOC(=O)C,test,2.090,26.3,36.145,0,0.586,1.577,1.881,0,1
98886-44-3,CCOP(=O)(N1CCSC1=O)SC(CC)C,test,5.762,107.02,52.33,0,0.64,2.614,1.233,1,0
470-90-6,CCOP(=O)(OC(=CCl)c1ccc(cc1Cl)Cl)OCC,test,6.560,54.57,41.028,0,4.449,2.988,1.497,0,0
22224-92-6,CCOP(=O)(Oc1ccc(c(c1)C)SC)NC(C)C,test,8.113,82.67,47.447,1,3.747,2.935,1.513,1,0
3689-24-5,CCOP(=S)(OP(=S)(OCC)OCC)OCC,test,9.150,129.95,30.53,0,1.145,2.637,1.444,0,0
100-41-4,CCc1ccccc1,test,4.502,0,0,0,2.942,1.989,1.063,0,0
657-24-9,CN(C(=N)N=C(N)N)C,test,1.983,91.49,117.376,5,-0.329,1.868,1.621,5,0
50-48-6,CN(CC/C=C/1\c2ccccc2CCc2c1cccc2)C,test,5.551,3.24,3.124,0,4.761,3.273,1.052,1,0
556-61-6,CN=C=S,test,5.418,44.45,16.786,0,1.157,1.334,0.685,1,1
124-40-3,CNC,test,2.958,12.03,18.011,1,-0.172,1.155,2.177,1,0
16752-77-5,CNC(=O)ON=C(SC)C,test,6.964,75.99,73.774,1,0.057,2.093,1.123,2,1
114-26-1,CNC(=O)Oc1ccccc1OC(C)C,test,4.910,47.56,65.155,1,1.57,2.644,1.376,1,0
534-13-4,CNC(=S)NC,test,3.825,56.15,36.022,2,-0.273,1.559,0.876,2,0
54910-89-3,CNCCC(c1ccccc1)Oc1ccc(cc1)C(F)(F)F,test,5.783,21.26,73.891,1,4.153,3.383,1.121,1,0
131860-33-8,CO/C=C(\c1ccccc1Oc1ncnc(c1)Oc1ccccc1C#N)/C(=O)OC,test,6.389,103.56,133.775,0,3.168,4.055,1.153,3,2
63675-72-9,COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+](=O)[O-])C(=O)OCC(C)C)C,test,4.071,110.45,141.047,1,2.767,3.488,1.216,2,2
10605-21-7,COC(=O)Nc1nc2c([nH]1)cccc2,test,6.119,67.01,70.941,2,1.052,2.676,1.137,3,0
126-07-8,COC1=CC(=O)CC(C21Oc1c(C2=O)c(OC)cc(c1Cl)OC)C,test,2.506,71.06,94.289,0,0.977,3.191,1.146,0,0
62-73-7,COP(=O)(OC=C(Cl)Cl)OC,test,9.099,54.57,41.028,0,1.246,2.086,1.875,0,0
732-11-6,COP(=S)(SCN1C(=O)c2c(C1=O)cccc2)OC,test,5.600,124.73,67.257,0,1.02,2.969,0.946,1,2
83-79-4,COc1cc2c(cc1OC)OCC1C2C(=O)c2c(O1)c1CC(Oc1cc2)C(=C)C,test,8.028,63.22,80.144,0,1.936,3.852,1.151,0,0
72-43-5,COc1ccc(cc1)C(C(Cl)(Cl)Cl)c1ccc(cc1)OC,test,7.087,18.46,22,0,4.268,3.164,0.857,0,0
22204-53-1,COc1ccc2c(c1)ccc(c2)C(C(=O)O)C,test,3.794,46.53,78.828,1,2.758,2.856,1.022,0,1
67-68-5,CS(=O)C,test,0.495,36.28,22.156,0,-0.317,1.225,1.333,0,0
4685-14-7,C[n+]1ccc(cc1)c1cc[n+](cc1)C,test,4.823,7.76,0,0,1.586,2.674,1.166,2,0
779-02-2,Cc1c2ccccc2cc2c1cccc2,test,6.190,0,0,0,4.588,2.744,0.807,0,0
108-67-8,Cc1cc(C)cc(c1)C,test,4.300,0,0,0,3.259,1.979,1.111,0,0
99-99-0,Cc1ccc(cc1)[N+](=O)[O-],test,4.010,45.82,50.747,0,2.241,2.119,0.942,1,0
576-26-1,Cc1cccc(c1O)C,test,4.038,20.23,42.683,1,2.193,1.96,1.02,0,0
108-88-3,Cc1ccccc1,test,3.002,0,0,0,2.608,1.857,1,0,0
95-53-4,Cc1ccccc1N,test,5.312,26.02,32.897,2,1.859,1.908,0.917,1,0
27304-13-8,ClC1C2C(C3C1(Cl)O3)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,test,5.513,12.53,11,0,4.452,2.716,0.49,0,0
79-00-5,ClCC(Cl)Cl,test,3.492,0,0,0,2.226,1.401,0.57,0,0
142-28-9,ClCCCCl,test,2.608,0,0,0,2.226,1.509,0.826,0,0
111-44-4,ClCCOCCCl,test,2.778,9.23,11,0,1.587,1.84,1.05,0,0
75-09-2,ClCCl,test,2.659,0,0,0,1.364,1.155,0.576,0,0
58-89-9,ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl,test,5.389,0,0,0,4.092,2.12,0.53,0,0
634-83-3,Clc1c(N)cc(c(c1Cl)Cl)Cl,test,5.559,26.02,32.897,2,3.617,2.074,0.288,1,0
4901-51-3,Clc1c(O)cc(c(c1Cl)Cl)Cl,test,5.760,20.23,42.683,1,3.617,2.074,0.34,0,0
935-95-5,Clc1cc(Cl)c(c(c1Cl)O)Cl,test,5.610,20.23,42.683,1,3.617,2.074,0.34,0,0
6639-30-1,Clc1cc(Cl)c(cc1C)Cl,test,5.550,0,0,0,4.366,2.031,0.57,0,0
89-61-2,Clc1ccc(c(c1)[N+](=O)[O-])Cl,test,4.251,45.82,50.747,0,3.11,2.154,0.478,1,0
37680-73-2,Clc1ccc(c(c1)c1cc(Cl)c(cc1Cl)Cl)Cl,test,7.509,0,0,0,6.232,2.766,0.493,0,0
37680-65-2,Clc1ccc(c(c1)c1ccccc1Cl)Cl,test,6.670,0,0,0,5.472,2.657,0.577,0,0
107534-96-3,Clc1ccc(cc1)CCC(C(C)(C)C)(Cn1cncn1)O,test,5.020,50.94,76.132,1,4.013,3.218,1.104,3,0
439-14-5,Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1,test,4.821,32.67,45.055,0,3.355,3.097,0.889,2,1
2051-60-7,Clc1ccccc1c1ccccc1,test,5.422,0,0,0,4.416,2.57,0.723,0,0
1897-45-6,N#Cc1c(Cl)c(C#N)c(c(c1Cl)Cl)Cl,test,6.210,47.58,62.119,0,3.133,2.324,0.467,2,2
59-87-0,NC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],test,3.839,126.44,152.848,3,-0.172,2.629,1.025,4,0
95-76-1,Nc1ccc(c(c1)Cl)Cl,test,5.437,26.02,32.897,2,2.729,1.975,0.462,1,0
91-94-1,Nc1ccc(cc1Cl)c1ccc(c(c1)Cl)N,test,5.381,52.04,65.794,4,3.586,2.758,0.518,2,0
108-42-9,Nc1cccc(c1)Cl,test,6.108,26.02,32.897,2,2.127,1.918,0.597,1,0
95-51-2,Nc1ccccc1Cl,test,5.190,26.02,32.897,2,2.127,1.908,0.597,1,0
154-42-7,NC1=NC(=S)c2nc[nH]c2N1,test,4.006,115.47,84.479,4,0.038,2.278,0.544,5,1
434-07-1,O/C=C\1/CC2(C)C(CC1=O)CCC1C2CCC2(C1CCC2(C)O)C,test,4.535,57.53,110.512,2,3.31,3.267,1.169,0,0
22431-62-5,O=C(C1C(C1(C)C)C=C1CCCC1)OCc1coc(c1)Cc1ccccc1,test,8.164,39.44,45.652,0,4.332,4.121,1.12,0,1
872-50-4,O=C1CCCN1C,test,4.906,20.31,28.269,0,0.198,1.782,1.559,1,1
1622-61-3,O=C1CN=C(c2c(N1)ccc(c2)[N+](=O)[O-])c1ccccc1Cl,test,4.022,87.28,110.688,1,2.843,3.244,0.745,3,1
1665-48-1,O=C1NCC(O1)COc1cc(C)cc(c1)C,test,3.470,47.56,65.155,1,1.191,2.899,1.265,1,0
90-02-8,O=Cc1ccccc1O,test,4.462,37.3,67.828,1,1.667,2.031,0.867,0,0
110-16-7,OC(=O)/C=C\C(=O)O,test,2.764,74.6,135.657,2,-0.45,1.823,1.075,0,2
882-09-7,OC(=O)C(Oc1ccc(cc1)Cl)(C)C,test,3.474,46.53,78.828,1,2.378,2.472,0.988,0,1
60-00-4,OC(=O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,test,3.103,155.68,277.562,4,-1.358,3.033,1.552,2,4
1071-83-6,OC(=O)CNCP(=O)(O)O,test,3.908,116.67,180.366,4,-1.96,2.021,1.83,1,1
15307-86-5,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,test,4.121,49.33,85.839,2,3.988,3.047,0.694,1,1
107-07-3,OCCCl,test,2.579,20.23,42.683,1,0.347,1.334,0.961,0,0
108-01-0,OCCN(C)C,test,2.959,23.47,45.808,1,-0.081,1.577,2.001,1,0
112-27-6,OCCOCCOCCO,test,0.460,58.92,107.366,2,-0.937,2.299,1.936,0,0
58-90-2,Oc1c(Cl)cc(c(c1Cl)Cl)Cl,test,6.110,20.23,42.683,1,3.617,2.074,0.34,0,0
609-19-8,Oc1cc(Cl)c(c(c1)Cl)Cl,test,5.461,20.23,42.683,1,3.314,2.027,0.409,0,0
102-08-9,S=C(Nc1ccccc1)Nc1ccccc1,test,3.531,56.15,36.022,2,3.112,2.997,0.701,2,0
33813-20-6,S=C1SSC2=NCCN12,test,5.922,105.86,19.91,0,0.623,2.116,0.508,2,0
88-73-3,[O-][N+](=O)c1ccccc1Cl,test,3.640,45.82,50.747,0,2.509,2.09,0.617,1,0
129-00-0,c1cc2ccc3c4c2c(c1)ccc4ccc3,test,6.173,0,0,0,4.76,2.859,0.7,0,0
122-66-7,c1ccc(cc1)NNc1ccccc1,test,4.651,24.06,35.776,2,3.326,2.837,0.849,2,0
92-83-1,c1ccc2c(c1)Oc1c(C2)cccc1,test,3.953,9.23,11,0,3.275,2.727,0.874,0,0
56-55-3,c1ccc2c(c1)cc1c(c2)ccc2c1cccc2,test,6.219,0,0,0,5.165,3.111,0.732,0,0
132-64-9,c1ccc2c(c1)oc1c2cccc1,test,4.995,13.14,9.507,0,2.859,2.614,0.827,0,0
71-43-2,c1ccccc1,test,2.480,0,0,0,2.255,1.8,0.917,0,0
